brand,model,firmware,controller,compatLevel,notes
Carbide 3D,Shapeoko 5 Pro,grbl,GRBL 1.1 (Carbide Motion Controller),full,Ships with GRBL 1.1 firmware. Full CAD; CAM; and Control via USB.
Carbide 3D,Shapeoko 5 Pro 4x4,grbl,GRBL 1.1 (Carbide Motion Controller),full,Ships with GRBL 1.1. Full compatibility.
Carbide 3D,Shapeoko 4,grbl,GRBL 1.1 (Carbide Motion Controller),full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 4 XL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 4 XXL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko Pro,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko Pro XL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko Pro XXL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 3,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 3 XL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 3 XXL,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko HDM,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Shapeoko 2,grbl,GRBL (Arduino + GShield),full,Older GRBL version — may need firmware update to 1.1 for best results.
Carbide 3D,Nomad 3,grbl,GRBL 1.1,full,GRBL 1.1 firmware. Full compatibility.
Carbide 3D,Nomad 883,grbl,GRBL,full,GRBL-based. Full compatibility.
Carbide 3D,Nomad 883 Pro,grbl,GRBL,full,GRBL-based. Full compatibility.
Inventables,X-Carve,grbl,X-Controller (GRBL),full,GRBL firmware. Full compatibility.
Inventables,X-Carve Pro,grbl,X-Controller (GRBL),full,GRBL firmware. Full compatibility.
Inventables,X-Carve (2021+),grbl,X-Controller (GRBL),full,Updated X-Carve still uses GRBL. Full compatibility.
Inventables,Carvey,grbl,GRBL-based,full,GRBL-based. Full compatibility.
